covidence_id,title,authors,csv_doi,found_doi,found_url,source
,"The association of polygenic risk for schizophrenia, bipolar disorder, and depression with neural connectivity in adolescents and young adults: examining developmental and sex differences.","Meyers, J L; Chorlian, D B; Bigdeli, T B; Johnson, E C; Aliev, F; Agrawal, A; Almasy, L; Anokhin, A; Edenberg, H J; Foroud, T; Goate, A; Kamarajan, C; Kinreich, S; Nurnberger, J; Pandey, A K; Pandey, G; Plawecki, M H; Salvatore, J E; Zhang, J; Fanous, A; Porjesz, B",10.1038/s41398-020-01185-7,10.1038/s41398-020-01185-7,https://doi.org/10.1038/s41398-020-01185-7,csv
,Quantifying Deviations of Brain Structure and Function in Major Depressive Disorder Across Neuroimaging Modalities.,"Winter, Nils R; Leenings, Ramona; Ernsting, Jan; Sarink, Kelvin; Fisch, Lukas; Emden, Daniel; Blanke, Julian; Goltermann, Janik; Opel, Nils; Barkhau, Carlotta; Meinert, Susanne; Dohm, Katharina; Repple, Jonathan; Mauritz, Marco; Gruber, Marius; Leehr, Elisabeth J; Grotegerd, Dominik; Redlich, Ronny; Jansen, Andreas; Nenadic, Igor; Nöthen, Markus M; Forstner, Andreas; Rietschel, Marcella; Groß, Joachim; Bauer, Jochen; Heindel, Walter; Andlauer, Till; Eickhoff, Simon B; Kircher, Tilo; Dannlowski, Udo; Hahn, Tim",10.1001/jamapsychiatry.2022.1780,10.1001/jamapsychiatry.2022.1780,https://doi.org/10.1001/jamapsychiatry.2022.1780,csv
,The role of adolescent social relationships in promoting alcohol resistance: Interrupting the intergenerational transmission of alcohol misuse.,"Stephenson, Mallory; Aliev, Fazil; Kuo, Sally I-Chun; Edwards, Alexis C; Pandey, Gayathri; Su, Jinni; Kamarajan, Chella; Dick, Danielle; Salvatore, Jessica E",10.1017/s0954579422000785,10.1017/s0954579422000785,https://doi.org/10.1017/s0954579422000785,csv
,Pursuing the epidemiology and familial risks of depression and developing an evidence based psychotherapy.,"Weissman, Myrna M",10.1016/j.psychres.2022.114754,10.1016/j.psychres.2022.114754,https://doi.org/10.1016/j.psychres.2022.114754,csv
,"Neurobiological, familial and genetic risk factors for dimensional psychopathology in the Adolescent Brain Cognitive Development study.","Wainberg, Michael; Jacobs, Grace R; Voineskos, Aristotle N; Tripathy, Shreejoy J",10.1038/s41380-022-01522-w,10.1038/s41380-022-01522-w,https://doi.org/10.1038/s41380-022-01522-w,csv
,Genetic risk of AUDs and childhood impulsivity: Examining the role of parenting and family environment.,"Su, Jinni; Trevino, Angel; Jamil, Belal; Aliev, Fazil",10.1017/S095457942200092X,10.1017/S095457942200092X,https://doi.org/10.1017/S095457942200092X,csv
,Interaction between ultra-processed food intake and genetic risk score on mental health and sleep quality.,"Hajmir, Mahya Mehri; Shiraseb, Farideh; Ebrahimi, Sara; Noori, Sahar; Ghaffarian-Ensaf, Rasool; Mirzaei, Khadijeh",10.1007/s40519-022-01501-8,10.1007/s40519-022-01501-8,https://doi.org/10.1007/s40519-022-01501-8,csv
,DNA methylome-wide association study of genetic risk for depression implicates antigen processing and immune responses.,"Shen, Xueyi; Caramaschi, Doretta; Adams, Mark J; Walker, Rosie M; Min, Josine L; Kwong, Alex; Hemani, Gibran; Barbu, Miruna C; Whalley, Heather C; Harris, Sarah E; Deary, Ian J; Morris, Stewart W; Cox, Simon R; Relton, Caroline L; Marioni, Riccardo E; Evans, Kathryn L; McIntosh, Andrew M; Genetics of DNA Methylation Consortium",10.1186/s13073-022-01039-5,10.1186/s13073-022-01039-5,https://doi.org/10.1186/s13073-022-01039-5,csv
,Associated and intermediate factors between genetic variants of the dopaminergic D2 receptor gene and harmful alcohol use in young adults.,"Mattioni, Julia; Vansteene, Clément; Poupon, Daphnee; Gorwood, Philip; Ramoz, Nicolas",10.1111/adb.13269,10.1111/adb.13269,https://doi.org/10.1111/adb.13269,csv
,"Disentangling the influences of parental genetics on offspring's cognition, education, and psychopathology via genetic and phenotypic pathways.","Axelrud, Luiza K; Hoffmann, Maurício S; Vosberg, Daniel E; Santoro, Marcos; Pan, Pedro M; Gadelha, Ary; Belangero, Sintia I; Miguel, Euripedes C; Shin, Jean; Thapar, Anita; Smoller, Jordan W; Pausova, Zdenka; Rohde, Luis A; Keller, Matthew C; Paus, Tomáš; Salum, Giovanni A",10.1111/jcpp.13708,10.1111/jcpp.13708,https://doi.org/10.1111/jcpp.13708,csv
,Neural Correlates of Positive Emotion Processing That Distinguish Healthy Youths at Familial Risk for Bipolar Versus Major Depressive Disorder.,"Nimarko, Akua F; Fischer, Adina S; Hagan, Kelsey E; Gorelik, Aaron J; Lu, Yvonne; Young, Caroline J; Singh, Manpreet K",10.1016/j.jaac.2020.07.890,10.1016/j.jaac.2020.07.890,https://doi.org/10.1016/j.jaac.2020.07.890,csv
,Alcohol use disorder and non-fatal suicide attempt: findings from a Swedish National Cohort Study.,"Edwards, Alexis C; Ohlsson, Henrik; Mościcki, Eve; Crump, Casey; Sundquist, Jan; Kendler, Kenneth S; Sundquist, Kristina",10.1111/add.15621,10.1111/add.15621,https://doi.org/10.1111/add.15621,csv
,Mediational Pathways From Genetic Risk to Alcohol Use Disorder in Swedish Men and Women.,"Kendler, Kenneth S; Ohlsson, Henrik; Edwards, Alexis C; Sundquist, Jan; Sundquist, Kristina",,10.15288/jsad.2021.82.431,https://doi.org/10.15288/jsad.2021.82.431,crossref
,The associations of CNR1 SNPs and haplotypes with vulnerability and treatment response phenotypes in Han Chinese with major depressive disorder: A case-control association study.,"Yang, Chenghao; Nolte, Ilja M; Ma, Yanyan; An, Xuguang; Bosker, Fokko J; Li, Jie",10.1002/mgg3.1752,10.1002/mgg3.1752,https://doi.org/10.1002/mgg3.1752,csv
,Childhood Trauma May Increase Risk of Psychosis and Mood Disorder in Genetically High-risk Children and Adolescents by Enhancing the Accumulation of Risk Indicators.,"Berthelot, Nicolas; Garon-Bissonnette, Julia; Jomphe, Valérie; Doucet-Beaupré, Hélène; Bureau, Alexandre; Maziade, Michel",10.1093/schizbullopen/sgac017,10.1093/schizbullopen/sgac017,https://doi.org/10.1093/schizbullopen/sgac017,csv
,Effects of OPRM1 and DRD2 on brain structure in drug-naïve adolescents: Genetic and neural vulnerabilities to substance use.,"Picci, Giorgia; Fishbein, Diana H; VanMeter, John W; Rose, Emma J",10.1007/s00213-021-06030-3,10.1007/s00213-021-06030-3,https://doi.org/10.1007/s00213-021-06030-3,csv
,Genome﻿-wide stress sensitivity moderates the stress-depression relationship in a nationally representative sample of adults.,"Davidson, Trent; Braudt, David B; Keers, Robert; Assary, Elham; Harris, Kathleen Mullan; Boardman, Jason D",10.1038/s41598-021-98684-4,10.1038/s41598-021-98684-4,https://doi.org/10.1038/s41598-021-98684-4,csv
,meQTL and ncRNA functional analyses of 102 GWAS-SNPs associated with depression implicate HACE1 and SHANK2 genes.,"Ciuculete, Diana M; Voisin, Sarah; Kular, Lara; Jonsson, Jörgen; Rask-Andersen, Mathias; Mwinyi, Jessica; Schiöth, Helgi B",10.1186/s13148-020-00884-8,10.1186/s13148-020-00884-8,https://doi.org/10.1186/s13148-020-00884-8,csv
,Exploratory genome-wide association analysis of response to ketamine and a polygenic analysis of response to scopolamine in depression.,"Guo, Wei; Machado-Vieira, Rodrigo; Mathew, Sanjay; Murrough, James W; Charney, Dennis S; Grunebaum, Matthew; Oquendo, Maria A; Kadriu, Bashkim; Akula, Nirmala; Henter, Ioline; Yuan, Peixiong; Merikangas, Kathleen; Drevets, Wayne; Furey, Maura; Mann, J John; McMahon, Francis J; Zarate, Carlos A, Jr; Shugart, Yin Yao",10.1038/s41398-018-0311-7,10.1038/s41398-018-0311-7,https://doi.org/10.1038/s41398-018-0311-7,csv
,Polygenic risk scores for alcohol involvement relate to brain structure in substance-naïve children: Results from the ABCD study.,"Hatoum, Alexander S; Johnson, Emma C; Baranger, David A A; Paul, Sarah E; Agrawal, Arpana; Bogdan, Ryan",10.1111/gbb.12756,10.1111/gbb.12756,https://doi.org/10.1111/gbb.12756,csv
